meta_num,secretaria,tipo,MC,pdm24,fis24,ef24,avfis24,pdm25,fis25,ef25,avfis25,pdm26,fis26,ef26,avfis26,pdm27,fis27,ef27,avfis27,avance_fisico,cumplimiento,aprop24_M,aprop25_M,aprop26_M,aprop27_M
1,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,10.0,2.0,2.0,100.0%,20.0%,4.0,4.0,100.0%,40.0%,2.0,0.0,0.0%,0.0%,2.0,0.0,0.0%,0.0%,60.0%,50.0%,44.2,15.0,0,56.5
2,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,400.0,100.0,100.0,100.0%,25.0%,100.0,100.0,100.0%,25.0%,100.0,91.0,91.0%,23.0%,100.0,0.0,0.0%,0.0%,73.0%,73.0%,1202.5,850.0,600.0,960.0
3,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,12.0,,,,,4.0,4.0,100.0%,33.0%,4.0,0.0,0.0%,0.0%,4.0,0.0,0.0%,0.0%,33.0%,33.0%,226.0,20.0,0,70.0
4,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,4.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,33.8,10.0,20.0,181.3
5,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,No acumulativo,1.0,,,,,1.0,1.0,100.0%,33.0%,0.33,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,33.0%,33.0%,167.0,25.0,15.0,18.0
6,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,280.0,50.0,50.0,100.0%,18.0%,70.0,105.0,100.0%,25.0%,70.0,28.0,40.0%,10.0%,90.0,0.0,0.0%,0.0%,53.0%,60.0%,8.2,81.6,0,7.2
7,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,4.0,,,,,2.0,1.0,50.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,25.0%,17.0%,74.6,10.0,0,0
8,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,250.0,,,,,100.0,105.0,100.0%,40.0%,100.0,0.0,0.0%,0.0%,50.0,0.0,0.0%,0.0%,40.0%,33.0%,74.6,10.0,0,0
9,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,No acumulativo,1.0,,,,,1.0,1.0,100.0%,33.0%,0.25,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,33.0%,33.0%,10.0,23.0,0,13.2
10,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,4000.0,1.0,1000.0,100.0%,25.0%,1000.0,350.0,35.0%,9.0%,1000.0,295.0,29.5%,7.0%,1000.0,0.0,0.0%,0.0%,41.0%,41.0%,12.0,18.4,14.5,45.0
11,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,4800.0,1.2,0.0,0.0%,0.0%,1200.0,1300.0,100.0%,25.0%,1200.0,295.0,24.6%,6.0%,1200.0,0.0,0.0%,0.0%,31.0%,31.0%,38.2,30.5,18.5,15.0
12,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,1.0,,,,,0.0,0.0,0.0%,0.0%,0.33,0.33,100.0%,33.0%,0.3,0.0,0.0%,0.0%,33.0%,33.0%,165.1,33.6,7.0,10.0
13,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,4.0,1.0,0.0,0.0%,0.0%,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,10.0,45.5,30.5,45.0
14,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,4.0,,,,,2.0,1.0,50.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,25.0%,17.0%,15.3,34.9,0,45.0
15,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,1.0,1.0,0.0,0.0%,0.0%,0.0,0.0,0.0%,0.0%,0.7,0.0,0.0%,0.0%,,0.0,,,0.0%,0.0%,43.5,10.0,0,0
16,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,1.0,,,,,0.0,0.0,0.0%,0.0%,0.33,0.0,0.0%,0.0%,0.4,0.0,0.0%,0.0%,0.0%,0.0%,162.6,26.3,25.0,40.0
17,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,10.0,3.0,0.0,0.0%,0.0%,3.0,3.0,100.0%,30.0%,2.5,0.0,0.0%,0.0%,2.5,0.0,0.0%,0.0%,30.0%,25.0%,12.8,25.5,15.0,41.0
18,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,40.0,10.0,10.0,100.0%,25.0%,10.0,10.0,100.0%,25.0%,10.0,4.0,40.0%,10.0%,10.0,0.0,0.0%,0.0%,60.0%,60.0%,44.0,200.0,44.1,100.0
19,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,Acumulativo,4.0,,,,,2.0,1.0,50.0%,25.0%,1.0,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,25.0%,17.0%,0,154.2,0,48.0
20,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,No acumulativo,1.0,1.0,1.0,100.0%,25.0%,1.0,1.0,100.0%,25.0%,0.25,0.0,0.0%,0.0%,1.0,0.0,0.0%,0.0%,50.0%,50.0%,20.3,97.0,0,34.3
